adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 193, 1.839484041, 188.308000000, 2.550715252
"001100000", 528, -6.296284641, 575.038000000, 7.470755006
"001100010", 20, 19.606488049, 1.084000000, 0.964782676
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 0, 0.000000000, 0.000000000, 0.000000000
"011000000", 380, 1.481202343, 374.324000000, 3.832022023
"011001000", 0, 0.000000000, 0.000000000, 0.000000000
"011100000", 0, 0.000000000, 0.000000000, 0.000000000
"011100010", 0, 0.000000000, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
