adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 126, -19.328047164, 237.624000000, 5.775234252
"001100000", 250, -6.998676578, 344.246000000, 13.466260221
"001100010", 0, 0.000000000, 0.000000000, 0.000000000
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 0, 0.000000000, 0.000000000, 0.000000000
"011000000", 168, -15.224296580, 277.498000000, 7.192319161
"011001000", 130, 34.986788641, 11.830000000, 3.377560633
"011100000", 0, 0.000000000, 0.000000000, 0.000000000
"011100010", 0, 0.000000000, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
