adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 2399051, 22.905528462, 1984285.482000000, 18107.659846593
"001100000", 4988512, 29.022679555, 3854086.968000000, 39087.536002420
"001100010", 24997, 33.554573803, 13660.682000000, 337.847175961
"010100100", 1026839, -20.379185879, 1262661.794000000, 11571.747537070
"010100110", 11192, -26.768992845, 19991.078000000, 328.704111172
"011000000", 3946117, 30.714303466, 3213812.990000000, 23842.442359482
"011001000", 82031, 22.523002427, 56330.842000000, 1141.062701702
"011100000", 1119607, -33.111888112, 1672467.656000000, 16696.742092356
"011100010", 27244, -31.754000641, 39396.786000000, 382.716689383
"011100100", 142297, -14.050120796, 251053.962000000, 7740.642488374
"011101000", 13336, -26.700387388, 22635.708000000, 348.298616979
"011101100", 10352, -37.269434665, 31516.250000000, 567.871506236
"011101110", 799, -20.586223871, 5634.590000000, 234.894462935
