adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 1314284, 17.636368389, 1095341.950000000, 12414.236602722
"001100000", 2193156, 20.017432667, 1760709.952000000, 21603.472093779
"001100010", 4570, 15.031404293, 2736.840000000, 121.955338584
"010100100", 250393, -17.615505190, 418298.476000000, 9531.686669575
"010100110", 760, -25.927166088, 4714.694000000, 152.530900854
"011000000", 1142380, 22.895838399, 926018.850000000, 9449.802458703
"011001000", 12435, 4.895247634, 10495.784000000, 396.142574362
"011100000", 193759, -24.625990317, 360261.076000000, 6761.233715005
"011100010", 1709, -39.789662554, 8191.544000000, 162.920306028
"011100100", 16716, -8.041578817, 39096.884000000, 2783.145512623
"011101000", 666, -27.022157921, 3443.194000000, 102.774693574
"011101100", 255, -27.262249811, 5258.394000000, 183.528286725
"011101110", 9, -12.845571763, 1148.664000000, 88.720379369
