adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 281, -15.174501005, 874.026000000, 39.080428398
"001100000", 275, -16.047964167, 1362.340000000, 67.755634837
"001100010", 4, -5.373143490, 41.154000000, 6.914760431
"010100100", 368, 5.536410788, 164.844000000, 36.694531490
"010100110", 70, 19.127677327, 9.068000000, 3.185540981
"011000000", 166, -17.326795325, 617.586000000, 26.062869188
"011001000", 66, -5.673480697, 143.990000000, 13.746411446
"011100000", 206, 3.954973565, 111.446000000, 23.907618712
"011100010", 26, 2.889089998, 13.846000000, 4.206860986
"011100100", 61, 12.786924077, 6.878000000, 4.232605095
"011101000", 34, 10.903866662, 5.906000000, 2.576517200
"011101100", 66, 48.003891152, 1.642000000, 1.340682983
"011101110", 41, 224.966181963, 0.030000000, 0.182116261
