adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 2647, -56.728455953, 14099.072000000, 201.875263616
"001100000", 3006, -54.488521880, 26444.838000000, 430.161017245
"001100010", 5, -21.353470959, 646.180000000, 30.026968506
"010100100", 6017, 19.335894026, 2318.760000000, 191.262943162
"010100110", 550, 33.273140193, 108.326000000, 13.274190456
"011000000", 3324, -51.662549012, 14542.224000000, 217.144221775
"011001000", 391, -25.166165262, 2268.336000000, 74.597618685
"011100000", 6120, 17.887592043, 2491.292000000, 202.861737410
"011100010", 275, 2.816955932, 214.206000000, 21.581452272
"011100100", 3858, 144.046674077, 124.846000000, 25.916280427
"011101000", 399, 19.312528791, 121.642000000, 14.361557878
"011101100", 1297, 171.986249560, 25.780000000, 7.391404855
"011101110", 712, 836.438899124, 0.642000000, 0.850460208
