adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 4120488, 19.110944797, 3546375.064000000, 30041.054593774
"001100000", 7479660, 22.439751379, 6190053.370000000, 57469.737886531
"001100010", 13060, 23.572057523, 7440.060000000, 238.415335380
"010100100", 1666387, -18.835713305, 2047277.168000000, 20221.701287917
"010100110", 9171, -30.457707848, 18005.428000000, 290.055576210
"011000000", 4367190, 24.838742896, 3653208.600000000, 28744.667272195
"011001000", 50790, 22.756249828, 31781.758000000, 835.297649801
"011100000", 1502634, -27.646636247, 2025319.752000000, 18905.943830731
"011100010", 18031, -40.403209384, 31587.564000000, 335.531860130
"011100100", 189062, -11.956759495, 312159.176000000, 10295.195454576
"011101000", 9343, -27.726187556, 16250.308000000, 249.125776348
"011101100", 8975, -40.981632659, 26800.590000000, 434.965345290
"011101110", 802, -21.491391970, 5918.642000000, 238.078669228
