adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 225130, 8.997740845, 194380.724000000, 3417.444059472
"001100000", 332627, 8.318537348, 281226.404000000, 6179.042522412
"001100010", 1320, 5.595485597, 963.176000000, 63.769979179
"010100100", 67443, -8.704683383, 88619.070000000, 2432.721452289
"010100110", 662, -11.031403990, 1388.898000000, 65.893516426
"011000000", 144244, 7.774789614, 122604.730000000, 2783.261165347
"011001000", 4111, 0.381245126, 4031.546000000, 208.406598996
"011100000", 57609, -6.756331902, 69810.228000000, 1805.895295873
"011100010", 1302, -16.199962665, 2382.000000000, 66.666820307
"011100100", 7396, -3.418578972, 10727.004000000, 974.382638925
"011101000", 673, -9.655987216, 1264.734000000, 61.281564146
"011101100", 518, -11.952027527, 1750.264000000, 103.100833497
"011101110", 54, -6.813872584, 297.866000000, 35.789633131
