adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 889, -13.819467316, 947.334000000, 4.221146783
"001100000", 293, -8.938002867, 371.180000000, 8.746920443
"001100010", 0, 0.000000000, 0.000000000, 0.000000000
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 1, inf, 0.000000000, 0.000000000
"011000000", 11878, -9.547019269, 11951.606000000, 7.709840938
"011001000", 70, 13.234332366, 14.444000000, 4.197869485
"011100000", 18, 2.335324393, 1.942000000, 6.876132517
"011100010", 1, inf, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
